Tarih,TP_DK_JPY_A_YTL
11-12-2023,19.9861
12-12-2023,19.7591
13-12-2023,19.8845
14-12-2023,19.8493
15-12-2023,20.4093
18-12-2023,20.3895
19-12-2023,20.3048
20-12-2023,20.0507
21-12-2023,20.2112
22-12-2023,20.2816
25-12-2023,20.4417
26-12-2023,20.4635
27-12-2023,20.5059
28-12-2023,20.5175
29-12-2023,20.8217
02-01-2024,20.7467
03-01-2024,20.8998
04-01-2024,20.8118
05-01-2024,20.6338
08-01-2024,20.4574
09-01-2024,20.6124
10-01-2024,20.6957
11-01-2024,20.5833
12-01-2024,20.5474
15-01-2024,20.6313
16-01-2024,20.5955
17-01-2024,20.472
18-01-2024,20.3024
19-01-2024,20.3025
22-01-2024,20.284
23-01-2024,20.3344
24-01-2024,20.4234
25-01-2024,20.4177
26-01-2024,20.4192
29-01-2024,20.4122
30-01-2024,20.4359
31-01-2024,20.5173
01-02-2024,20.4569
02-02-2024,20.595
05-02-2024,20.6667
06-02-2024,20.4813
07-02-2024,20.4768
08-02-2024,20.5806
09-02-2024,20.4615
12-02-2024,20.4331
13-02-2024,20.4935
14-02-2024,20.461
15-02-2024,20.3322
16-02-2024,20.4045
19-02-2024,20.4004
20-02-2024,20.4903
21-02-2024,20.4705
22-02-2024,20.5445
23-02-2024,20.5641
26-02-2024,20.5311
27-02-2024,20.568
28-02-2024,20.6232
29-02-2024,20.5991
01-03-2024,20.7472
04-03-2024,20.7096
05-03-2024,20.8385
06-03-2024,20.9193
07-03-2024,21.098
08-03-2024,21.4246
11-03-2024,21.5515
12-03-2024,21.7151
13-03-2024,21.6512
14-03-2024,21.6157
15-03-2024,21.6401
18-03-2024,21.5625
19-03-2024,21.5681
20-03-2024,21.4064
21-03-2024,21.277
22-03-2024,21.3289
25-03-2024,21.0514
26-03-2024,21.1337
27-03-2024,21.1645
28-03-2024,21.1802
29-03-2024,21.2554
01-04-2024,21.2798
02-04-2024,21.3251
03-04-2024,21.1327
04-04-2024,21.0005
05-04-2024,20.9358
08-04-2024,21.0389
09-04-2024,21.0244
15-04-2024,21.0244
16-04-2024,20.9552
17-04-2024,20.9184
18-04-2024,20.9489
19-04-2024,20.9742
22-04-2024,20.9931
24-04-2024,20.9548
25-04-2024,20.9111
26-04-2024,20.8182
29-04-2024,20.666
30-04-2024,20.6724
02-05-2024,20.541
03-05-2024,20.7742
06-05-2024,20.9994
07-05-2024,20.9067
08-05-2024,20.8086
09-05-2024,20.6774
10-05-2024,20.5954
13-05-2024,20.5993
14-05-2024,20.5757
15-05-2024,20.5303
16-05-2024,20.6262
17-05-2024,20.7477
20-05-2024,20.6123
21-05-2024,20.5996
22-05-2024,20.5343
23-05-2024,20.4816
24-05-2024,20.4641
27-05-2024,20.4222
28-05-2024,20.4312
29-05-2024,20.4257
30-05-2024,20.4299
31-05-2024,20.5072
03-06-2024,20.3936
04-06-2024,20.4275
05-06-2024,20.7329
06-06-2024,20.7423
07-06-2024,20.5612
10-06-2024,20.6572
11-06-2024,20.5754
12-06-2024,20.5036
13-06-2024,20.488
14-06-2024,20.4526
20-06-2024,20.5752
21-06-2024,20.517
24-06-2024,20.5806
25-06-2024,20.5032
26-06-2024,20.5831
27-06-2024,20.5094
28-06-2024,20.4126
01-07-2024,20.3699
02-07-2024,20.2078
03-07-2024,20.1377
04-07-2024,20.0263
05-07-2024,20.1131
08-07-2024,20.2472
09-07-2024,20.2286
10-07-2024,20.2844
11-07-2024,20.3135
12-07-2024,20.2785
16-07-2024,20.6302
17-07-2024,20.7899
18-07-2024,21.0196
19-07-2024,21.0777
22-07-2024,20.9235
23-07-2024,20.9674
24-07-2024,21.0089
25-07-2024,21.1724
26-07-2024,21.5761
29-07-2024,21.3212
30-07-2024,21.3946
31-07-2024,21.2801
01-08-2024,21.8764
02-08-2024,21.9967
05-08-2024,22.1495
06-08-2024,23.2643
07-08-2024,22.9617
08-08-2024,22.72
09-08-2024,22.8362
12-08-2024,22.6806
13-08-2024,22.6689
14-08-2024,22.6174
15-08-2024,22.7086
16-08-2024,22.745
19-08-2024,22.5576
20-08-2024,22.9747
21-08-2024,22.9696
22-08-2024,23.1126
23-08-2024,23.1922
26-08-2024,23.1696
27-08-2024,23.5137
28-08-2024,23.3884
29-08-2024,23.4613
02-09-2024,23.4043
03-09-2024,23.0743
04-09-2024,23.1561
05-09-2024,23.3691
06-09-2024,23.5744
09-09-2024,23.693
10-09-2024,23.6321
11-09-2024,23.6611
12-09-2024,23.9239
13-09-2024,23.7093
16-09-2024,23.9593
17-09-2024,24.154
18-09-2024,24.0959
19-09-2024,23.9548
20-09-2024,23.7556
23-09-2024,23.5536
24-09-2024,23.6564
25-09-2024,23.5732
26-09-2024,23.6085
27-09-2024,23.5157
30-09-2024,23.7542
01-10-2024,23.8965
02-10-2024,23.6527
03-10-2024,23.605
04-10-2024,23.1922
07-10-2024,23.262
08-10-2024,22.9871
09-10-2024,23.0859
10-10-2024,22.9545
11-10-2024,22.8684
14-10-2024,22.8928
15-10-2024,22.8343
16-10-2024,22.8709
17-10-2024,22.8221
18-10-2024,22.7382
21-10-2024,22.735
22-10-2024,22.7476
23-10-2024,22.5967
24-10-2024,22.3562
25-10-2024,22.4373
28-10-2024,22.4515
30-10-2024,22.4515
31-10-2024,22.2938
01-11-2024,22.3687
04-11-2024,22.3707
05-11-2024,22.5038
06-11-2024,22.4651
07-11-2024,22.1412
08-11-2024,22.1389
11-11-2024,22.4214
12-11-2024,22.2618
13-11-2024,22.2326
14-11-2024,22.0862
15-11-2024,21.9386
18-11-2024,22.0128
19-11-2024,22.1862
20-11-2024,22.3484
21-11-2024,22.0685
22-11-2024,22.2327
25-11-2024,22.246
26-11-2024,22.2909
27-11-2024,22.4065
28-11-2024,22.7345
29-11-2024,22.7192
02-12-2024,22.9877
03-12-2024,23.0027
04-12-2024,23.0712
05-12-2024,22.9876
06-12-2024,23.0518
